onet,onet_title,noc 2021,noc_title,noc 2016,noc 2016 title,Noc 2006,noc_title_2006
31-1122.00,Personal Care Aides,33102,"Nurse aides, orderlies and patient service associates",3413,"Nurse aides, orderlies and patient service associates",D312,"Nurse aides, orderlies and patient service associates"
29-2099.08,Patient Representatives,33102,"Nurse aides, orderlies and patient service associates",3413,"Nurse aides, orderlies and patient service associates",D312,"Nurse aides, orderlies and patient service associates"
29-1291.00,Acupuncturists,33103,Pharmacy technical assistants and pharmacy assistants,3219,Other medical technologists and technicians (except dental health),D219,Other medical technologists and technicians (except dental health)
29-2091.00,Orthotists and Prosthetists,33103,Pharmacy technical assistants and pharmacy assistants,3219,Other medical technologists and technicians (except dental health),D219,Other medical technologists and technicians (except dental health)
31-2012.00,Occupational Therapy Aides,33103,Pharmacy technical assistants and pharmacy assistants,3219,Other medical technologists and technicians (except dental health),D219,Other medical technologists and technicians (except dental health)
31-9092.00,Medical Assistants,33103,Pharmacy technical assistants and pharmacy assistants,3219,Other medical technologists and technicians (except dental health),D219,Other medical technologists and technicians (except dental health)
31-9093.00,Medical Equipment Preparers,33103,Pharmacy technical assistants and pharmacy assistants,3219,Other medical technologists and technicians (except dental health),D219,Other medical technologists and technicians (except dental health)
31-9095.00,Pharmacy Aides,33103,Pharmacy technical assistants and pharmacy assistants,3219,Other medical technologists and technicians (except dental health),D219,Other medical technologists and technicians (except dental health)
31-9099.00,"Healthcare Support Workers, All Other",33103,Pharmacy technical assistants and pharmacy assistants,3219,Other medical technologists and technicians (except dental health),D219,Other medical technologists and technicians (except dental health)
51-9082.00,Medical Appliance Technicians,33103,Pharmacy technical assistants and pharmacy assistants,3219,Other medical technologists and technicians (except dental health),D219,Other medical technologists and technicians (except dental health)
51-9083.00,Ophthalmic Laboratory Technicians,33103,Pharmacy technical assistants and pharmacy assistants,3219,Other medical technologists and technicians (except dental health),D219,Other medical technologists and technicians (except dental health)
29-1291.00,Acupuncturists,33109,Other assisting occupations in support of health services,3237,Other technical occupations in therapy and assessment,D235,Other technical occupations in therapy and assessment
29-2092.00,Hearing Aid Specialists,33109,Other assisting occupations in support of health services,3237,Other technical occupations in therapy and assessment,D235,Other technical occupations in therapy and assessment
29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",33109,Other assisting occupations in support of health services,3237,Other technical occupations in therapy and assessment,D235,Other technical occupations in therapy and assessment
31-2012.00,Occupational Therapy Aides,33109,Other assisting occupations in support of health services,3237,Other technical occupations in therapy and assessment,D235,Other technical occupations in therapy and assessment
31-2021.00,Physical Therapist Assistants,33109,Other assisting occupations in support of health services,3237,Other technical occupations in therapy and assessment,D235,Other technical occupations in therapy and assessment
31-2022.00,Physical Therapist Aides,33109,Other assisting occupations in support of health services,3237,Other technical occupations in therapy and assessment,D235,Other technical occupations in therapy and assessment
31-9092.00,Medical Assistants,33109,Other assisting occupations in support of health services,3237,Other technical occupations in therapy and assessment,D235,Other technical occupations in therapy and assessment
31-9093.00,Medical Equipment Preparers,33109,Other assisting occupations in support of health services,3237,Other technical occupations in therapy and assessment,D235,Other technical occupations in therapy and assessment
31-9095.00,Pharmacy Aides,33109,Other assisting occupations in support of health services,3237,Other technical occupations in therapy and assessment,D235,Other technical occupations in therapy and assessment
31-9099.00,"Healthcare Support Workers, All Other",33109,Other assisting occupations in support of health services,3237,Other technical occupations in therapy and assessment,D235,Other technical occupations in therapy and assessment
31-9099.01,Speech-Language Pathology Assistants,33109,Other assisting occupations in support of health services,3237,Other technical occupations in therapy and assessment,D235,Other technical occupations in therapy and assessment
51-9083.00,Ophthalmic Laboratory Technicians,33109,Other assisting occupations in support of health services,3237,Other technical occupations in therapy and assessment,D235,Other technical occupations in therapy and assessment
11-9199.00,"Managers, All Other",40010,Government managers - health and social policy development and program administration,411,Government managers - health and social policy development and program administration,A331,Government managers - health and social policy development and program administration
11-9199.00,"Managers, All Other",40011,"Government managers - economic analysis, policy development and program administration",412,"Government managers - economic analysis, policy development and program administration",A332,"Government managers - economic analysis, policy development and program administration"
11-9199.00,"Managers, All Other",40012,Government managers - education policy development and program administration,413,Government managers - education policy development and program administration,A333,Government managers - education policy development and program administration
11-9199.00,"Managers, All Other",40019,Other managers in public administration,414,Other managers in public administration,A334,Other managers in public administration
11-9199.01,Regulatory Affairs Managers,40019,Other managers in public administration,414,Other managers in public administration,A334,Other managers in public administration
11-9033.00,"Education Administrators, Postsecondary",40020,Administrators - post-secondary education and vocational training,421,Administrators - post-secondary education and vocational training,A322,Administrators - post-secondary education and vocational training
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",40021,School principals and administrators of elementary and secondary education,422,School principals and administrators of elementary and secondary education,A323,School principals and administrators of elementary and secondary education
11-9032.00,"Education Administrators, Elementary and Secondary School",40021,School principals and administrators of elementary and secondary education,422,School principals and administrators of elementary and secondary education,A323,School principals and administrators of elementary and secondary education
11-9151.00,Social and Community Service Managers,40030,"Managers in social, community and correctional services",423,"Managers in social, community and correctional services",A324,"Managers in social, community and correctional services"
21-2021.00,"Directors, Religious Activities and Education",40030,"Managers in social, community and correctional services",423,"Managers in social, community and correctional services",A324,"Managers in social, community and correctional services"
33-1012.00,First-Line Supervisors of Police and Detectives,40040,Commissioned police officers and related occupations in public protection services,431,Commissioned police officers,A351,Commissioned police officers
33-1021.00,First-Line Supervisors of Fire Fighting and Prevention Workers,40041,Fire chiefs and senior firefighting officers,432,Fire chiefs and senior firefighting officers,A352,Fire chiefs and senior firefighting officers
33-1021.00,Municipal Fire Fighting and Prevention Supervisors,40041,Fire chiefs and senior firefighting officers,432,Fire chiefs and senior firefighting officers,A352,Fire chiefs and senior firefighting officers
55-1011.00,Air Crew Officers,40042,Commissioned officers of the Canadian Armed Forces,433,Commissioned officers of the Canadian Forces,A353,"Commissioned officers, armed forces"
55-1012.00,Aircraft Launch and Recovery Officers,40042,Commissioned officers of the Canadian Armed Forces,433,Commissioned officers of the Canadian Forces,A353,"Commissioned officers, armed forces"
55-1013.00,Armored Assault Vehicle Officers,40042,Commissioned officers of the Canadian Armed Forces,433,Commissioned officers of the Canadian Forces,A353,"Commissioned officers, armed forces"
55-1014.00,Artillery and Missile Officers,40042,Commissioned officers of the Canadian Armed Forces,433,Commissioned officers of the Canadian Forces,A353,"Commissioned officers, armed forces"
55-1015.00,Command and Control Center Officers,40042,Commissioned officers of the Canadian Armed Forces,433,Commissioned officers of the Canadian Forces,A353,"Commissioned officers, armed forces"
55-1016.00,Infantry Officers,40042,Commissioned officers of the Canadian Armed Forces,433,Commissioned officers of the Canadian Forces,A353,"Commissioned officers, armed forces"
55-1017.00,Special Forces Officers,40042,Commissioned officers of the Canadian Armed Forces,433,Commissioned officers of the Canadian Forces,A353,"Commissioned officers, armed forces"
55-1019.00,"Military Officer Special and Tactical Operations Leaders, All Other",40042,Commissioned officers of the Canadian Armed Forces,433,Commissioned officers of the Canadian Forces,A353,"Commissioned officers, armed forces"
23-1023.00,"Judges, Magistrate Judges, and Magistrates",41100,Judges,4111,Judges,E011,Judges
23-1011.00,Lawyers,41101,Lawyers and Quebec notaries,4112,Lawyers and Quebec notaries,E012,Lawyers and Quebec notaries
25-1011.00,"Business Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1021.00,"Computer Science Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1022.00,"Mathematical Science Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1031.00,"Architecture Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1032.00,"Engineering Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1042.00,"Biological Science Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1052.00,"Chemistry Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1053.00,"Environmental Science Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1054.00,"Physics Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1063.00,"Economics Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1064.00,"Geography Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1065.00,"Political Science Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1066.00,"Psychology Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1067.00,"Sociology Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1071.00,"Health Specialties Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1081.00,"Education Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1082.00,"Library Science Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1112.00,"Law Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1113.00,"Social Work Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1122.00,"Communications Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1123.00,"English Language and Literature Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1125.00,"History Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1192.00,"Home Economics Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",41200,University professors and lecturers,4011,University professors and lecturers,E111,University professors
19-4061.00,Social Science Research Assistants,41201,Post-secondary teaching and research assistants,4012,Post-secondary teaching and research assistants,E112,Post-secondary teaching and research assistants
25-9044.00,Graduate Teaching Assistants,41201,Post-secondary teaching and research assistants,4012,Post-secondary teaching and research assistants,E112,Post-secondary teaching and research assistants
25-1011.00,"Business Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1021.00,"Computer Science Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1022.00,"Mathematical Science Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1031.00,"Architecture Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1032.00,"Engineering Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1042.00,"Biological Science Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1052.00,"Chemistry Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1053.00,"Environmental Science Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1054.00,"Physics Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1063.00,"Economics Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1064.00,"Geography Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1065.00,"Political Science Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1066.00,"Psychology Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1067.00,"Sociology Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1071.00,"Health Specialties Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1081.00,"Education Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1082.00,"Library Science Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1112.00,"Law Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1113.00,"Social Work Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1122.00,"Communications Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1123.00,"English Language and Literature Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1125.00,"History Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1192.00,"Home Economics Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-1194.00,"Vocational Education Teachers, Postsecondary",41210,College and other vocational instructors,4021,College and other vocational instructors,E121,College and other vocational instructors
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",41220,Secondary school teachers,4031,Secondary school teachers,E131,Secondary school teachers
25-2021.00,"Elementary School Teachers, Except Special Education",41221,Elementary school and kindergarten teachers,4032,Elementary school and kindergarten teachers,E132,Elementary school and kindergarten teachers
21-1021.00,"Child, Family, and School Social Workers",41300,Social workers,4152,Social workers,E022,Social workers
21-1022.00,Healthcare Social Workers,41300,Social workers,4152,Social workers,E022,Social workers
21-1023.00,Mental Health and Substance Abuse Social Workers,41300,Social workers,4152,Social workers,E022,Social workers
19-3033.00,"Clinical, Counseling, and School Psychologists",41301,Therapists in counselling and related specialized therapies,3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
19-3034.00,School Psychologists,41301,Therapists in counselling and related specialized therapies,3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
19-3033.00,Clinical Psychologists,41301,Therapists in counselling and related specialized therapies,3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
19-3033.00,Counseling Psychologists,41301,Therapists in counselling and related specialized therapies,3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
19-3032.00,Industrial-Organizational Psychologists,41301,Therapists in counselling and related specialized therapies,3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
19-3039.00,"Psychologists, All Other",41301,Therapists in counselling and related specialized therapies,3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
19-3039.02,Neuropsychologists,41301,Therapists in counselling and related specialized therapies,3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
19-3039.03,Clinical Neuropsychologists,41301,Therapists in counselling and related specialized therapies,3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
21-1013.00,Marriage and Family Therapists,41301,Therapists in counselling and related specialized therapies,3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
21-1021.00,"Child, Family, and School Social Workers",41301,Therapists in counselling and related specialized therapies,3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",41301,Therapists in counselling and related specialized therapies,3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
29-1125.00,Recreational Therapists,41301,Therapists in counselling and related specialized therapies,3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
29-1129.01,Art Therapists,41301,Therapists in counselling and related specialized therapies,3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
29-1129.02,Music Therapists,41301,Therapists in counselling and related specialized therapies,3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
29-9092.00,Genetic Counselors,41301,Therapists in counselling and related specialized therapies,3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
21-2011.00,Clergy,41302,Religious leaders,4154,Professional occupations in religion,E024,Ministers of religion
13-1041.06,Coroners,41310,Police investigators and other investigative occupations,431,Commissioned police officers,A351,Commissioned police officers
15-2051.02,Clinical Data Managers,41310,Police investigators and other investigative occupations,431,Commissioned police officers,A351,Commissioned police officers
29-1211.00,Anesthesiologists,41310,Police investigators and other investigative occupations,431,Commissioned police officers,A351,Commissioned police officers
29-1218.00,Obstetricians and Gynecologists,41310,Police investigators and other investigative occupations,431,Commissioned police officers,A351,Commissioned police officers
29-1221.00,"Paediatricians, General",41310,Police investigators and other investigative occupations,431,Commissioned police officers,A351,Commissioned police officers
29-1223.00,Psychiatrists,41310,Police investigators and other investigative occupations,431,Commissioned police officers,A351,Commissioned police officers
29-1217.00,Neurologists,41310,Police investigators and other investigative occupations,431,Commissioned police officers,A351,Commissioned police officers
29-1224.00,Radiologists,41310,Police investigators and other investigative occupations,431,Commissioned police officers,A351,Commissioned police officers
29-1229.03,Urologists,41310,Police investigators and other investigative occupations,431,Commissioned police officers,A351,Commissioned police officers
33-1012.00,First-Line Supervisors of Police and Detectives,41310,Police investigators and other investigative occupations,431,Commissioned police officers,A351,Commissioned police officers
33-1012.00,First-Line Supervisors of Police and Detectives,41310,Police investigators and other investigative occupations,431,Commissioned police officers,A351,Commissioned police officers
33-3051.00,Police and Sheriff's Patrol Officers,41310,Police investigators and other investigative occupations,431,Commissioned police officers,A351,Commissioned police officers
33-3051.00,Police Patrol Officers,41310,Police investigators and other investigative occupations,431,Commissioned police officers,A351,Commissioned police officers
21-1092.00,Probation Officers and Correctional Treatment Specialists,41311,Probation and parole officers,4155,Probation and parole officers and related occupations,E025,Probation and parole officers and related occupations
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",41320,Educational counsellors,4033,Educational counsellors,E133,Educational counsellors
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",41321,Career development practitioners and career counsellors (except education),4153,"Family, marriage and other related counsellors",E023,"Family, marriage and other related counsellors"
21-1013.00,Marriage and Family Therapists,41321,Career development practitioners and career counsellors (except education),4153,"Family, marriage and other related counsellors",E023,"Family, marriage and other related counsellors"
21-1021.00,"Child, Family, and School Social Workers",41321,Career development practitioners and career counsellors (except education),4153,"Family, marriage and other related counsellors",E023,"Family, marriage and other related counsellors"
29-9092.00,Genetic Counselors,41321,Career development practitioners and career counsellors (except education),4153,"Family, marriage and other related counsellors",E023,"Family, marriage and other related counsellors"
47-4011.01,Energy Auditors,41400,"Natural and applied science policy researchers, consultants and program officers",4161,"Natural and applied science policy researchers, consultants and program officers",E031,"Natural and applied science policy researchers, consultants and program officers"
13-1199.05,Sustainability Specialists,41400,"Natural and applied science policy researchers, consultants and program officers",4161,"Natural and applied science policy researchers, consultants and program officers",E031,"Natural and applied science policy researchers, consultants and program officers"
17-2112.01,Human Factors Engineers and Ergonomists,41400,"Natural and applied science policy researchers, consultants and program officers",4161,"Natural and applied science policy researchers, consultants and program officers",E031,"Natural and applied science policy researchers, consultants and program officers"
19-2041.03,Industrial Ecologists,41400,"Natural and applied science policy researchers, consultants and program officers",4161,"Natural and applied science policy researchers, consultants and program officers",E031,"Natural and applied science policy researchers, consultants and program officers"
13-2054.00,Risk Management Specialists,41401,Economists and economic policy researchers and analysts,4162,Economists and economic policy researchers and analysts,E032,Economists and economic policy researchers and analysts
19-3011.00,Economists,41401,Economists and economic policy researchers and analysts,4162,Economists and economic policy researchers and analysts,E032,Economists and economic policy researchers and analysts
19-3011.01,Environmental Economists,41401,Economists and economic policy researchers and analysts,4162,Economists and economic policy researchers and analysts,E032,Economists and economic policy researchers and analysts
13-1161.00,Market Research Analysts and Marketing Specialists,41402,Business development officers and market researchers and analysts,4163,Business development officers and marketing researchers and consultants,E033,Business development officers and marketing researchers and consultants
13-1041.03,Equal Opportunity Representatives and Officers,41403,"Social policy researchers, consultants and program officers",4164,"Social policy researchers, consultants and program officers",E034,"Social policy researchers, consultants and program officers"
19-4061.00,Social Science Research Assistants,41403,"Social policy researchers, consultants and program officers",4164,"Social policy researchers, consultants and program officers",E034,"Social policy researchers, consultants and program officers"
13-1041.06,Coroners,41404,"Health policy researchers, consultants and program officers",4165,"Health policy researchers, consultants and program officers",E039,"Health policy researchers, consultants and program officers"
15-2051.02,Clinical Data Managers,41404,"Health policy researchers, consultants and program officers",4165,"Health policy researchers, consultants and program officers",E039,"Health policy researchers, consultants and program officers"
25-9031.00,Instructional Coordinators,41405,"Education policy researchers, consultants and program officers",4166,"Education policy researchers, consultants and program officers",E035,"Education policy researchers, consultants and program officers"
19-4061.00,Social Science Research Assistants,41406,"Recreation, sports and fitness policy researchers, consultants and program officers",4167,"Recreation, sports and fitness policy researchers, consultants and program officers",E036,"Recreation, sports and fitness program supervisors and consultants"
43-4061.00,"Eligibility Interviewers, Government Programs",41407,Program officers unique to government,4168,Program officers unique to government,E037,Program officers unique to government
19-3099.00,"Social Scientists and Related Workers, All Other",41409,Other professional occupations in social science,4169,"Other professional occupations in social science, n.e.c.",E038,"Other professional occupations in social science, n.e.c."
33-1012.00,First-Line Supervisors of Police and Detectives,42100,Police officers (except commissioned),4311,Police officers (except commissioned),G611,Police officers (except commissioned)
33-3051.00,Police and Sheriff's Patrol Officers,42100,Police officers (except commissioned),4311,Police officers (except commissioned),G611,Police officers (except commissioned)
33-3051.00,Police Patrol Officers,42100,Police officers (except commissioned),4311,Police officers (except commissioned),G611,Police officers (except commissioned)
33-2011.00,Firefighters,42101,Firefighters,4312,Firefighters,G612,Firefighters
33-2011.00,Municipal Firefighters,42101,Firefighters,4312,Firefighters,G612,Firefighters
33-2011.00,Forest Firefighters,42101,Firefighters,4312,Firefighters,G612,Firefighters
55-2011.00,First-Line Supervisors of Air Crew Members,42102,Specialized members of the Canadian Armed Forces,4313,Non-commissioned ranks of the Canadian Forces,G624,"Other ranks, armed forces"
55-2012.00,First-Line Supervisors of Weapons Specialists/Crew Members,42102,Specialized members of the Canadian Armed Forces,4313,Non-commissioned ranks of the Canadian Forces,G624,"Other ranks, armed forces"
55-2013.00,First-Line Supervisors of All Other Tactical Operations Specialists,42102,Specialized members of the Canadian Armed Forces,4313,Non-commissioned ranks of the Canadian Forces,G624,"Other ranks, armed forces"
55-3011.00,Air Crew Members,42102,Specialized members of the Canadian Armed Forces,4313,Non-commissioned ranks of the Canadian Forces,G624,"Other ranks, armed forces"
55-3012.00,Aircraft Launch and Recovery Specialists,42102,Specialized members of the Canadian Armed Forces,4313,Non-commissioned ranks of the Canadian Forces,G624,"Other ranks, armed forces"
55-3013.00,Armored Assault Vehicle Crew Members,42102,Specialized members of the Canadian Armed Forces,4313,Non-commissioned ranks of the Canadian Forces,G624,"Other ranks, armed forces"
55-3014.00,Artillery and Missile Crew Members,42102,Specialized members of the Canadian Armed Forces,4313,Non-commissioned ranks of the Canadian Forces,G624,"Other ranks, armed forces"
55-3015.00,Command and Control Center Specialists,42102,Specialized members of the Canadian Armed Forces,4313,Non-commissioned ranks of the Canadian Forces,G624,"Other ranks, armed forces"
55-3016.00,Infantry,42102,Specialized members of the Canadian Armed Forces,4313,Non-commissioned ranks of the Canadian Forces,G624,"Other ranks, armed forces"
55-3018.00,Special Forces,42102,Specialized members of the Canadian Armed Forces,4313,Non-commissioned ranks of the Canadian Forces,G624,"Other ranks, armed forces"
55-3019.00,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",42102,Specialized members of the Canadian Armed Forces,4313,Non-commissioned ranks of the Canadian Forces,G624,"Other ranks, armed forces"
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",42200,Paralegals and related occupations,1227,Court officers and justices of the peace,B317,Court officers and justices of the peace
23-2011.00,Paralegals and Legal Assistants,42200,Paralegals and related occupations,1227,Court officers and justices of the peace,B317,Court officers and justices of the peace
21-1021.00,"Child, Family, and School Social Workers",42201,Social and community service workers,4155,Probation and parole officers and related occupations,E025,Probation and parole officers and related occupations
21-1023.00,Mental Health and Substance Abuse Social Workers,42201,Social and community service workers,4155,Probation and parole officers and related occupations,E025,Probation and parole officers and related occupations
21-1092.00,Probation Officers and Correctional Treatment Specialists,42201,Social and community service workers,4155,Probation and parole officers and related occupations,E025,Probation and parole officers and related occupations
39-9041.00,Residential Advisors,42201,Social and community service workers,4155,Probation and parole officers and related occupations,E025,Probation and parole officers and related occupations
25-2011.00,"Preschool Teachers, Except Special Education",42202,Early childhood educators and assistants,4214,Early childhood educators and assistants,E217,Early childhood educators and assistants
25-2051.00,"Special Education Teachers, Preschool",42203,Instructors of persons with disabilities,4215,Instructors of persons with disabilities,E214,Instructors and teachers of persons with disabilities
25-2055.00,"Special Education Teachers, Kindergarten",42203,Instructors of persons with disabilities,4215,Instructors of persons with disabilities,E214,Instructors and teachers of persons with disabilities
25-2056.00,"Special Education Teachers, Elementary School",42203,Instructors of persons with disabilities,4215,Instructors of persons with disabilities,E214,Instructors and teachers of persons with disabilities
